Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Alabama,Jackson,01,350,80507.32,1.02933,33.75,9870.5,0.95639,923.67,15274.84,0.86068,444.75,9749.87,1.00747,4721.83
2021,Alabama,Jefferson,01,360,78913.29,0.96524,520.25,10937.9,0.98054,4804.58,18577.64,0.96894,1499.83,10639.17,1.04661,26749.58
2021,Alabama,Lamar,01,370,76191.95,1.00832,18.08,10342.83,0.90126,387.83,15681.87,0.83476,190.5,9285.29,1.05817,1451.67
2021,Alabama,Lauderdale,01,380,63108.58,0.97113,51.83,10271.02,0.94004,1192.08,14457.5,0.96472,560.42,8966.3,0.99357,8282.67
2021,Alabama,Lawrence,01,390,75161.71,0.88255,27.33,9423.37,0.92951,517.17,13628.6,0.9323,257.92,9952.7,1.05993,2417.33
2021,Alabama,Lee,01,400,64297.24,0.97086,98.92,8386.09,0.89709,1552.5,12214.81,0.88713,499.75,8888.81,1.02176,7404.92
2021,Alabama,Limestone,01,410,74354.39,1.00331,65.33,10903.14,0.95089,940.58,13768.58,0.94445,360.33,10280.4,1.01385,6724.58
2021,Alabama,Lowndes,01,420,65531.01,0.84942,16.33,10505.08,0.77508,117.67,10460.98,0.84702,66.25,8745.63,1.04456,394.42
2021,Alabama,Macon,01,430,70311.49,0.98997,31.75,10513.02,0.82338,193,12677.8,0.89052,95.67,8138.3,1.01152,852.17
2021,Alabama,Madison,01,440,77401.47,0.95895,276.83,10875.14,0.9442,2875.92,17226.15,0.9206,1016.58,9820.94,1.00382,27447.83
2021,Alabama,Marengo,01,450,77233.23,0.95154,33.67,8337.08,0.77098,530.5,14986.11,0.93837,280.42,10172.94,1.05873,1349.25
2021,Alabama,Marion,01,460,80376.85,0.98662,20.25,10474.13,0.89205,671.67,14243.75,0.889,413.83,9510.09,1.03735,2635.83
2021,Alabama,Marshall,01,470,65442.47,0.99299,71.33,9213.83,0.94437,1298,15208,0.89132,708.42,9785.93,1.05791,6804.08
2021,Alabama,Mobile,01,480,73643.88,0.95127,319.25,9688.4,0.92819,3379.33,16080.75,0.96337,1084.33,10474.06,1.07226,15956.5
2021,Alabama,Monroe,01,490,75456.54,0.92059,26.42,8069.96,0.73624,334,17606.25,0.90721,184.42,9302.32,0.97201,1167.17
