Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Alabama,Lee,1,400,64381.48,0.94297,180,7422.57,0.89315,2791.92,11321.53,0.92499,903.33,7444.47,0.94075,10271.42
2016,Alabama,Limestone,1,410,73071.57,0.95129,99,10972.68,0.99494,1705.08,14544.13,0.99629,649,9265.07,0.99972,7660.17
2016,Alabama,Lowndes,1,420,63447.64,0.87792,37.58,6909.3,0.83991,285.75,12890.11,0.9955,157.08,8223.52,1.00841,749
2016,Alabama,Macon,1,430,50983.17,0.89281,62.17,7349.6,0.9081,468.5,13238.5,0.89578,229.5,7376.47,0.98262,1514.33
2016,Alabama,Madison,1,440,70187.07,0.9686,393.33,9981.69,1.00162,5045.42,16214.22,0.99042,1859.33,9098.51,0.9969,31373.5
2016,Alabama,Marengo,1,450,63871.87,0.93417,55.75,8270.77,0.82403,1001.58,12180.28,0.95908,510,8881.8,1.00803,2068.08
2016,Alabama,Marion,1,460,76650.6,0.98656,20.92,8144.77,0.85134,1189,13692.92,0.87138,527.83,9184.63,0.96644,3476
2016,Alabama,Marshall,1,470,83928.26,1.01666,82.33,8848.03,0.97596,2824.83,14357.94,1.02766,1234,9296.56,1.06987,9539.75
2016,Alabama,Mobile,1,480,62297.74,0.93791,554,8653.28,0.93068,6369.33,14774.96,1.03641,1919.83,8717.21,1.00506,24158.5
2016,Alabama,Monroe,1,490,72389.73,0.87632,31.67,7562.87,0.84129,946.17,13695.06,0.91652,428.5,8207.65,0.94371,2101.58
2016,Alabama,Montgomery,1,500,69859.48,0.99408,353.25,8844.49,0.90816,3470.5,14408.47,1.00279,1210.42,8129.44,0.95589,16400.58
2016,Alabama,Morgan,1,510,65787.17,0.98137,127.33,10245.94,0.99791,3044.83,13936.4,0.98824,1203.58,8695.36,1.00573,12579.5
2016,Alabama,Perry,1,520,74130.31,0.94421,28.33,7797.3,0.77446,562.08,12430.32,0.90127,369.42,7550.36,0.9753,807.08
2016,Alabama,Pickens,1,530,67813.89,0.94144,42.58,8182.07,0.83141,987.92,12689.52,0.84252,460.58,8337.69,0.94609,2185.08
2016,Alabama,Pike,1,540,65467.45,0.93264,54.58,8078.9,0.8838,758.33,11490.66,0.88693,403.17,8479.35,0.93331,2417.67
2016,Alabama,Randolph,1,550,88557.33,1.02128,36.17,7859.56,0.93535,792,12507.06,0.93281,423.42,7762.56,0.98919,2542.42
2016,Alabama,Russell,1,560,69924.31,0.96421,134.08,7873.75,0.87436,1407.25,13960.41,0.97625,532.33,8341.99,1.04491,4254.58
2016,Alabama,"St. Clair",1,570,67889.19,0.94408,69.42,9611.29,0.98824,1352.5,14829.6,1.0695,319.33,9423.28,1.05451,5746.33
2016,Alabama,Shelby,1,580,71861.69,0.95234,118.67,10070.38,0.94805,1840.75,18607.21,1.04212,437.58,8928.17,0.94645,14121.92
2016,Alabama,Sumter,1,590,81643.99,0.95959,30.75,7167.06,0.79885,698.58,11449.91,0.81113,378.67,8061.51,0.94831,1121.25
2016,Alabama,Talladega,1,600,73750.9,0.9401,148.92,7793.62,0.83323,2730.5,13762.18,0.92221,855.17,9187.05,1.01653,6973.83
2016,Alabama,Tallapoosa,1,610,63424.86,0.94672,82.83,7882.94,0.86536,1749.42,14032.93,1.00918,691.42,9080.68,1.06656,5024.67
2016,Alabama,Tuscaloosa,1,620,79486.48,0.96937,234.92,8979.94,0.90278,5425.25,14846.23,0.99311,1395.17,9018.64,1.00313,16509.25
2016,Alabama,Walker,1,630,74312.08,0.98735,58.33,8631.37,0.96715,2006.92,16138.24,1.07839,602.67,9390.22,1.10127,6095.67
2016,Alabama,Washington,1,640,65939.52,0.91752,30.5,7266.35,0.78165,645.92,12871.77,0.79963,295.17,9064.3,0.94009,1807.58
2016,Alabama,Wilcox,1,650,72978.12,0.97524,34.5,6719.08,0.73175,729.25,10452.11,0.90286,378.75,8163.88,0.96399,997.75
2016,Alabama,Winston,1,660,80072.1,0.9272,19.75,8699.25,0.97631,942.83,15650.51,0.97038,541.83,8936.26,0.98932,2763
2016,Alaska,"Aleutians East",2,13,.,.,.,*,*,*,14409.19,0.791,10.92,7984.81,0.80443,55.17
2016,Alaska,"Aleutians West",2,16,.,.,.,12623.35,0.89086,14.17,8317.51,0.617,16.58,14050.12,1.01153,50.83
2016,Alaska,Anchorage,2,20,88690.24,0.9628,196.33,11826.46,0.99909,3185,13104.51,0.86982,2447.08,8859.09,0.85986,14331.67
